condition,mode,level,class_id,full,common
radar__evaluation__instance__severe__a3,instance,severe,5,14354,1363
radar__evaluation__instance__severe__a3,instance,severe,6,4674,265
radar__evaluation__instance__severe__a3,instance,severe,7,68695,62068
radar__evaluation__instance__severe__a4,instance,severe,0,14264,9740
radar__evaluation__instance__severe__a4,instance,severe,1,8197,1942
radar__evaluation__instance__severe__a4,instance,severe,2,8076,42
radar__evaluation__instance__severe__a4,instance,severe,3,8450,37
radar__evaluation__instance__severe__a4,instance,severe,4,9855,151
radar__evaluation__instance__severe__a4,instance,severe,5,14354,1363
radar__evaluation__instance__severe__a4,instance,severe,6,4674,265
radar__evaluation__instance__severe__a4,instance,severe,7,68695,62068
radar__evaluation__concept__moderate__a0,concept,moderate,0,12426,8783
radar__evaluation__concept__moderate__a0,concept,moderate,1,7950,1847
radar__evaluation__concept__moderate__a0,concept,moderate,2,7486,32
radar__evaluation__concept__moderate__a0,concept,moderate,3,6625,26
radar__evaluation__concept__moderate__a0,concept,moderate,4,8660,141
radar__evaluation__concept__moderate__a0,concept,moderate,5,11571,1116
radar__evaluation__concept__moderate__a0,concept,moderate,6,3769,253
radar__evaluation__concept__moderate__a0,concept,moderate,7,57596,51969
radar__evaluation__concept__moderate__a1,concept,moderate,0,12525,8925
radar__evaluation__concept__moderate__a1,concept,moderate,1,6259,1514
radar__evaluation__concept__moderate__a1,concept,moderate,2,6959,31
radar__evaluation__concept__moderate__a1,concept,moderate,3,7145,29
radar__evaluation__concept__moderate__a1,concept,moderate,4,7766,120
radar__evaluation__concept__moderate__a1,concept,moderate,5,12270,1127
radar__evaluation__concept__moderate__a1,concept,moderate,6,3978,134
radar__evaluation__concept__moderate__a1,concept,moderate,7,59257,53481
radar__evaluation__concept__moderate__a2,concept,moderate,0,12901,8926
radar__evaluation__concept__moderate__a2,concept,moderate,1,6275,1105
radar__evaluation__concept__moderate__a2,concept,moderate,2,6998,38
radar__evaluation__concept__moderate__a2,concept,moderate,3,6526,27
radar__evaluation__concept__moderate__a2,concept,moderate,4,9099,151
radar__evaluation__concept__moderate__a2,concept,moderate,5,12437,1363
radar__evaluation__concept__moderate__a2,concept,moderate,6,3943,37
radar__evaluation__concept__moderate__a2,concept,moderate,7,57988,52252
radar__evaluation__concept__moderate__a3,concept,moderate,0,11251,7905
radar__evaluation__concept__moderate__a3,concept,moderate,1,6598,1641
radar__evaluation__concept__moderate__a3,concept,moderate,2,6249,32
radar__evaluation__concept__moderate__a3,concept,moderate,3,7295,28
radar__evaluation__concept__moderate__a3,concept,moderate,4,8274,132
radar__evaluation__concept__moderate__a3,concept,moderate,5,12930,1363
radar__evaluation__concept__moderate__a3,concept,moderate,6,4204,265
radar__evaluation__concept__moderate__a3,concept,moderate,7,59360,53590
radar__evaluation__concept__moderate__a4,concept,moderate,0,13091,8868
radar__evaluation__concept__moderate__a4,concept,moderate,1,7336,1708
radar__evaluation__concept__moderate__a4,concept,moderate,2,6997,34
radar__evaluation__concept__moderate__a4,concept,moderate,3,6750,19
radar__evaluation__concept__moderate__a4,concept,moderate,4,8138,136
radar__evaluation__concept__moderate__a4,concept,moderate,5,12654,1312
radar__evaluation__concept__moderate__a4,concept,moderate,6,4547,183
radar__evaluation__concept__moderate__a4,concept,moderate,7,56574,51136
radar__evaluation__concept__severe__a0,concept,severe,0,10920,7568
radar__evaluation__concept__severe__a0,concept,severe,1,6672,1713
radar__evaluation__concept__severe__a0,concept,severe,2,5809,31
radar__evaluation__concept__severe__a0,concept,severe,3,5745,10
radar__evaluation__concept__severe__a0,concept,severe,4,8374,115
radar__evaluation__concept__severe__a0,concept,severe,5,10752,916
radar__evaluation__concept__severe__a0,concept,severe,6,3306,164
radar__evaluation__concept__severe__a0,concept,severe,7,50763,46199
radar__evaluation__concept__severe__a1,concept,severe,0,11112,7830
radar__evaluation__concept__severe__a1,concept,severe,1,6537,1221
radar__evaluation__concept__severe__a1,concept,severe,2,6124,28
radar__evaluation__concept__severe__a1,concept,severe,3,5538,27
radar__evaluation__concept__severe__a1,concept,severe,4,7772,105
radar__evaluation__concept__severe__a1,concept,severe,5,10523,884
radar__evaluation__concept__severe__a1,concept,severe,6,2670,6
radar__evaluation__concept__severe__a1,concept,severe,7,52150,46844
radar__evaluation__concept__severe__a2,concept,severe,0,10708,7405
radar__evaluation__concept__severe__a2,concept,severe,1,6952,1938
radar__evaluation__concept__severe__a2,concept,severe,2,5345,25
radar__evaluation__concept__severe__a2,concept,severe,3,6454,26
radar__evaluation__concept__severe__a2,concept,severe,4,7672,96
radar__evaluation__concept__severe__a2,concept,severe,5,9673,870
radar__evaluation__concept__severe__a2,concept,severe,6,3096,265
radar__evaluation__concept__severe__a2,concept,severe,7,52503,47245
radar__evaluation__concept__severe__a3,concept,severe,0,10743,7295
radar__evaluation__concept__severe__a3,concept,severe,1,6461,1570
radar__evaluation__concept__severe__a3,concept,severe,2,6518,21
radar__evaluation__concept__severe__a3,concept,severe,3,6935,32
radar__evaluation__concept__severe__a3,concept,severe,4,7764,134
radar__evaluation__concept__severe__a3,concept,severe,5,11147,1130
radar__evaluation__concept__severe__a3,concept,severe,6,2831,159
radar__evaluation__concept__severe__a3,concept,severe,7,49956,45072
radar__evaluation__concept__severe__a4,concept,severe,0,10162,7237
radar__evaluation__concept__severe__a4,concept,severe,1,5931,1306
radar__evaluation__concept__severe__a4,concept,severe,2,6882,41
radar__evaluation__concept__severe__a4,concept,severe,3,5686,29
radar__evaluation__concept__severe__a4,concept,severe,4,6269,100
radar__evaluation__concept__severe__a4,concept,severe,5,11786,1115
radar__evaluation__concept__severe__a4,concept,severe,6,3618,213
radar__evaluation__concept__severe__a4,concept,severe,7,52038,46939
radar__evaluation__splice__moderate__a0,splice,moderate,0,11405,7497
radar__evaluation__splice__moderate__a0,splice,moderate,1,6675,1584
radar__evaluation__splice__moderate__a0,splice,moderate,2,7121,41
radar__evaluation__splice__moderate__a0,splice,moderate,3,7318,37
radar__evaluation__splice__moderate__a0,splice,moderate,4,8323,150
radar__evaluation__splice__moderate__a0,splice,moderate,5,11509,1362
radar__evaluation__splice__moderate__a0,splice,moderate,6,3536,153
radar__evaluation__splice__moderate__a0,splice,moderate,7,60223,54845
radar__evaluation__splice__moderate__a1,splice,moderate,0,12609,8686
radar__evaluation__splice__moderate__a1,splice,moderate,1,6795,1832
radar__evaluation__splice__moderate__a1,splice,moderate,2,6628,35
radar__evaluation__splice__moderate__a1,splice,moderate,3,6343,28
radar__evaluation__splice__moderate__a1,splice,moderate,4,8913,118
radar__evaluation__splice__moderate__a1,splice,moderate,5,12670,1117
radar__evaluation__splice__moderate__a1,splice,moderate,6,3833,182
radar__evaluation__splice__moderate__a1,splice,moderate,7,58386,52528
radar__evaluation__splice__moderate__a2,splice,moderate,0,12288,8858
radar__evaluation__splice__moderate__a2,splice,moderate,1,7153,1598
radar__evaluation__splice__moderate__a2,splice,moderate,2,7550,38
radar__evaluation__splice__moderate__a2,splice,moderate,3,6777,28
radar__evaluation__splice__moderate__a2,splice,moderate,4,8742,132
radar__evaluation__splice__moderate__a2,splice,moderate,5,12698,1131
radar__evaluation__splice__moderate__a2,splice,moderate,6,4071,212
radar__evaluation__splice__moderate__a2,splice,moderate,7,56848,51102
radar__evaluation__splice__moderate__a3,splice,moderate,0,12168,8111
radar__evaluation__splice__moderate__a3,splice,moderate,1,7106,1851
radar__evaluation__splice__moderate__a3,splice,moderate,2,6458,33
radar__evaluation__splice__moderate__a3,splice,moderate,3,7605,37
radar__evaluation__splice__moderate__a3,splice,moderate,4,8450,137
radar__evaluation__splice__moderate__a3,splice,moderate,5,10531,1116
radar__evaluation__splice__moderate__a3,splice,moderate,6,4438,265
radar__evaluation__splice__moderate__a3,splice,moderate,7,59385,53733
radar__evaluation__splice__moderate__a4,splice,moderate,0,12359,8376
radar__evaluation__splice__moderate__a4,splice,moderate,1,7225,1808
radar__evaluation__splice__moderate__a4,splice,moderate,2,6326,21
radar__evaluation__splice__moderate__a4,splice,moderate,3,7788,36
radar__evaluation__splice__moderate__a4,splice,moderate,4,7532,113
radar__evaluation__splice__moderate__a4,splice,moderate,5,12663,1363
radar__evaluation__splice__moderate__a4,splice,moderate,6,4207,265
radar__evaluation__splice__moderate__a4,splice,moderate,7,58014,52152
radar__evaluation__splice__severe__a0,splice,severe,0,10616,7649
radar__evaluation__splice__severe__a0,splice,severe,1,5174,1460
radar__evaluation__splice__severe__a0,splice,severe,2,6039,38
radar__evaluation__splice__severe__a0,splice,severe,3,5948,29
radar__evaluation__splice__severe__a0,splice,severe,4,8248,113
radar__evaluation__splice__severe__a0,splice,severe,5,11625,1194
radar__evaluation__splice__severe__a0,splice,severe,6,3326,158
radar__evaluation__splice__severe__a0,splice,severe,7,51383,46478
radar__evaluation__splice__severe__a1,splice,severe,0,10436,7446
radar__evaluation__splice__severe__a1,splice,severe,1,5801,1340
radar__evaluation__splice__severe__a1,splice,severe,2,5863,38
radar__evaluation__splice__severe__a1,splice,severe,3,5726,27
radar__evaluation__splice__severe__a1,splice,severe,4,7517,84
radar__evaluation__splice__severe__a1,splice,severe,5,11393,1001
radar__evaluation__splice__severe__a1,splice,severe,6,4057,188
radar__evaluation__splice__severe__a1,splice,severe,7,51524,46316
radar__evaluation__splice__severe__a2,splice,severe,0,10907,7379
radar__evaluation__splice__severe__a2,splice,severe,1,6001,1331
radar__evaluation__splice__severe__a2,splice,severe,2,5611,24
radar__evaluation__splice__severe__a2,splice,severe,3,6618,31
radar__evaluation__splice__severe__a2,splice,severe,4,7974,111
radar__evaluation__splice__severe__a2,splice,severe,5,10475,758
radar__evaluation__splice__severe__a2,splice,severe,6,3592,235
radar__evaluation__splice__severe__a2,splice,severe,7,51188,46821
radar__evaluation__splice__severe__a3,splice,severe,0,10280,6973
radar__evaluation__splice__severe__a3,splice,severe,1,6151,1620
radar__evaluation__splice__severe__a3,splice,severe,2,5610,30
radar__evaluation__splice__severe__a3,splice,severe,3,5950,32
radar__evaluation__splice__severe__a3,splice,severe,4,7119,72
radar__evaluation__splice__severe__a3,splice,severe,5,11484,1113
radar__evaluation__splice__severe__a3,splice,severe,6,3487,34
radar__evaluation__splice__severe__a3,splice,severe,7,52278,46948
radar__evaluation__splice__severe__a4,splice,severe,0,11969,8545
radar__evaluation__splice__severe__a4,splice,severe,1,6073,1361
radar__evaluation__splice__severe__a4,splice,severe,2,5559,27
radar__evaluation__splice__severe__a4,splice,severe,3,7109,36
radar__evaluation__splice__severe__a4,splice,severe,4,7453,110
radar__evaluation__splice__severe__a4,splice,severe,5,9294,873
radar__evaluation__splice__severe__a4,splice,severe,6,3281,262
radar__evaluation__splice__severe__a4,splice,severe,7,51661,46386
